_c0,_c1,_c2,_c3,_c4,_c5,_c6,_c7,_c8,_c9
es.wikipedia,Ataque_de_denegación_de_servicio,-1,mobile-app,12,1,user,2019,9,9
de.wikipedia,Denial_of_Service,-1,mobile-app,12,2,user,2019,9,9
en.wikipedia,Denial-of-service_attack,-1,mobile-app,12,1,user,2019,9,9
fr.wikipedia,Attaque_par_déni_de_service,-1,mobile-app,13,1,user,2019,9,9
vi.wikipedia,Tấn_công_từ_chối_dịch_vụ,-1,mobile-app,14,1,user,2018,9,29
en.wikipedia,Denial-of-service_attack,-1,desktop,14,2,spider,2018,9,29
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
de.wikipedia,Denial_of_Service,-1,mobile-app,9,1,user,2019,9,26
de.wikipedia,Denial_of_Service,-1,mobile-app,10,2,user,2019,9,26
en.wikipedia,Denial-of-service_attack,-1,desktop,11,1,spider,2019,9,26
en.wikipedia,Denial-of-service_attack,-1,mobile-app,11,3,user,2019,9,26
id.wikipedia,Serangan_DoS,-1,mobile-app,11,1,user,2019,9,26
pt.wikipedia,Ataque_de_negação_de_serviço,-1,mobile-app,13,1,user,2019,9,16
en.wikipedia,Denial-of-service_attack,-1,desktop,14,3,spider,2019,9,16
ru.wikipedia,DoS-атака,-1,mobile-app,14,1,user,2019,9,16
en.wikipedia,Denial-of-service_attack,-1,mobile-app,15,1,user,2019,9,16
ja.wikipedia,DoS攻撃,-1,mobile-app,15,2,user,2019,9,16
pl.wikipedia,DoS,-1,mobile-app,15,1,user,2019,9,16
ru.wikipedia,DoS-атака,-1,mobile-app,15,1,user,2019,9,16
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
de.wikipedia,Denial_of_Service,-1,mobile-app,19,10,user,2019,9,21
en.wikipedia,Denial-of-service_attack,-1,desktop,19,3,spider,2019,9,21
fi.wikipedia,Palvelunestohyökkäys,-1,mobile-app,20,5,user,2019,9,21
en.wikipedia,Denial-of-service_attack,-1,desktop,20,9,spider,2019,9,21
it.wikipedia,Denial_of_service,-1,mobile-app,21,1,user,2019,9,21
en.wikipedia,Denial-of-service_attack,-1,desktop,21,3,spider,2019,9,21
en.wikipedia,Denial-of-service_attack,-1,desktop,22,2,spider,2019,9,21
en.wikipedia,Denial-of-service_attack,-1,mobile-app,22,1,user,2019,9,21
es.wikipedia,Ataque_de_denegación_de_servicio,-1,mobile-app,22,2,user,2019,9,21
en.wikipedia,Denial-of-service_attack,-1,desktop,23,1,spider,2019,9,21
en.wikipedia,Denial-of-service_attack,-1,mobile-app,23,2,user,2019,9,21
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
de.wikipedia,Denial_of_Service,-1,mobile-app,4,1,user,2019,9,17
en.wikipedia,Denial-of-service_attack,-1,desktop,4,2,spider,2019,9,17
de.wikipedia,Denial_of_Service,-1,mobile-app,5,4,user,2019,9,17
en.wikipedia,Denial-of-service_attack,-1,mobile-app,5,3,user,2019,9,17
en.wikipedia,Denial-of-service_attack,-1,desktop,5,1,spider,2019,9,17
de.wikipedia,Denial_of_Service,-1,mobile-app,6,1,user,2019,9,17
sr.wikipedia,DoS_напад,-1,mobile-app,6,1,user,2019,9,17
en.wikipedia,Denial-of-service_attack,-1,desktop,6,1,spider,2019,9,17
pl.wikipedia,DDoS,-1,mobile-app,7,1,user,2019,9,17
ru.wikipedia,DoS-атака,-1,mobile-app,7,1,user,2019,9,17
en.wikipedia,Denial-of-service_attack,-1,desktop,7,6,spider,2019,9,17
it.wikipedia,Denial_of_service,-1,mobile-app,8,1,user,2019,9,17
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,mobile-web,12,1,spider,2019,9,27
en.wikipedia,Denial-of-service_attack,-1,mobile-app,13,1,user,2019,9,27
hu.wikipedia,Szolgáltatásmegtagadással_járó_támadás,-1,mobile-app,13,1,user,2019,9,27
ru.wikipedia,DoS-атака,-1,mobile-app,13,1,user,2019,9,27
en.wikipedia,Denial-of-service_attack,-1,desktop,13,1,spider,2019,9,27
en.wikipedia,Denial-of-service_attack,-1,mobile-app,14,1,user,2019,9,27
it.wikipedia,Denial_of_service,-1,mobile-app,14,1,user,2019,9,27
ru.wikipedia,DoS-атака,-1,mobile-app,14,1,user,2019,9,27
en.wikipedia,Denial-of-service_attack,-1,desktop,14,1,spider,2019,9,27
en.wikipedia,Denial-of-service_attack,-1,desktop,15,2,spider,2019,9,27
ru.wikipedia,DoS-атака,-1,mobile-app,16,2,user,2019,9,27
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
ru.wikipedia,DoS-атака,-1,mobile-app,5,1,user,2019,9,30
en.wikipedia,Denial-of-service_attack,-1,desktop,6,1,spider,2019,9,30
de.wikipedia,Denial_of_Service,-1,mobile-app,6,1,user,2019,9,30
en.wikipedia,Denial-of-service_attack,-1,desktop,7,2,spider,2019,9,30
en.wikipedia,Denial-of-service_attack,-1,desktop,8,2,spider,2019,9,30
en.wikipedia,Denial-of-service_attack,-1,desktop,9,3,spider,2019,9,30
en.wikipedia,Denial-of-service_attack,-1,desktop,10,6,spider,2019,9,30
ar.wikipedia,هجمات_الحرمان_من_الخدمات,-1,mobile-app,10,1,user,2019,9,30
en.wikipedia,Denial-of-service_attack,-1,mobile-app,11,2,user,2019,9,30
en.wikipedia,Denial-of-service_attack,-1,desktop,11,3,spider,2019,9,30
ru.wikipedia,DoS-атака,-1,mobile-app,11,1,user,2019,9,30
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,mobile-app,8,1,user,2019,9,13
en.wikipedia,Denial-of-service_attack,-1,desktop,9,3,spider,2019,9,13
ar.wikipedia,هجمات_الحرمان_من_الخدمات,-1,mobile-app,9,2,user,2019,9,13
ru.wikipedia,DoS-атака,-1,mobile-app,9,1,user,2019,9,13
en.wikipedia,Denial-of-service_attack,-1,desktop,11,4,spider,2019,9,13
it.wikipedia,Denial_of_service,-1,mobile-app,11,1,user,2019,9,13
en.wikipedia,Denial-of-service_attack,-1,desktop,17,1,spider,2019,9,12
de.wikipedia,Denial_of_Service,-1,mobile-app,18,3,user,2019,9,12
en.wikipedia,Denial-of-service_attack,-1,mobile-app,18,2,user,2019,9,12
ru.wikipedia,DoS-атака,-1,mobile-app,18,2,user,2019,9,12
en.wikipedia,Denial-of-service_attack,-1,desktop,18,1,spider,2019,9,12
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
it.wikipedia,Denial_of_service,-1,mobile-app,5,1,user,2019,9,19
en.wikipedia,Denial-of-service_attack,-1,mobile-app,5,1,user,2019,9,19
ru.wikipedia,DoS-атака,-1,mobile-app,5,2,user,2019,9,19
en.wikipedia,Denial-of-service_attack,-1,desktop,6,2,spider,2019,9,19
pl.wikipedia,DDoS,-1,mobile-app,6,1,user,2019,9,19
ru.wikipedia,DoS-атака,-1,mobile-app,6,1,user,2019,9,19
en.wikipedia,Denial-of-service_attack,-1,desktop,7,1,spider,2019,9,19
ru.wikipedia,DoS-атака,-1,mobile-app,7,2,user,2019,9,19
en.wikipedia,Denial-of-service_attack,-1,desktop,8,2,spider,2019,9,19
ru.wikipedia,DoS-атака,-1,mobile-app,8,1,user,2019,9,19
en.wikipedia,Denial-of-service_attack,-1,desktop,9,5,spider,2019,9,19
ru.wikipedia,DoS-атака,-1,mobile-app,9,1,user,2019,9,19
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,desktop,6,4,spider,2019,9,21
en.wikipedia,Denial-of-service_attack,-1,mobile-app,6,1,user,2019,9,21
en.wikipedia,Denial-of-service_attack,-1,desktop,7,1,spider,2019,9,21
hu.wikipedia,Szolgáltatásmegtagadással_járó_támadás,-1,mobile-app,7,1,user,2019,9,21
en.wikipedia,Denial-of-service_attack,-1,desktop,8,2,spider,2019,9,21
pl.wikipedia,DoS,-1,mobile-app,8,1,user,2019,9,21
en.wikipedia,Denial-of-service_attack,-1,mobile-app,8,3,user,2019,9,21
en.wikipedia,Denial-of-service_attack,-1,desktop,9,1,spider,2019,9,21
de.wikipedia,Denial_of_Service,-1,mobile-app,9,1,user,2019,9,21
en.wikipedia,Denial-of-service_attack,-1,desktop,10,3,spider,2019,9,21
en.wikipedia,Denial-of-service_attack,-1,desktop,11,3,spider,2019,9,21
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,mobile-app,16,1,user,2018,9,15
en.wikipedia,Denial-of-service_attack,-1,desktop,16,2,spider,2018,9,15
es.wikipedia,Ataque_de_denegación_de_servicio,-1,mobile-app,17,1,user,2018,9,15
en.wikipedia,Denial-of-service_attack,-1,mobile-app,17,1,user,2018,9,15
en.wikipedia,Denial-of-service_attack,-1,desktop,17,1,spider,2018,9,15
de.wikipedia,Denial_of_Service,-1,mobile-app,17,2,user,2018,9,15
ru.wikipedia,DoS-атака,-1,mobile-app,18,1,user,2018,9,15
en.wikipedia,Denial-of-service_attack,-1,desktop,19,1,spider,2018,9,15
ru.wikipedia,DoS-атака,-1,mobile-app,19,1,user,2018,9,15
en.wikipedia,Denial-of-service_attack,-1,desktop,20,1,spider,2018,9,15
en.wikipedia,Denial-of-service_attack,-1,desktop,21,1,spider,2018,9,15
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,desktop,4,1,spider,2019,9,27
de.wikipedia,Denial_of_Service,-1,mobile-app,4,1,user,2019,9,27
hu.wikipedia,Szolgáltatásmegtagadással_járó_támadás,-1,mobile-app,5,1,user,2019,9,27
it.wikipedia,Denial_of_service,-1,mobile-app,5,1,user,2019,9,27
ru.wikipedia,DoS-атака,-1,mobile-app,5,2,user,2019,9,27
uk.wikipedia,DoS-атака,-1,mobile-app,5,1,user,2019,9,27
en.wikipedia,Denial-of-service_attack,-1,mobile-app,5,1,user,2019,9,27
en.wikipedia,Denial-of-service_attack,-1,desktop,6,4,spider,2019,9,27
en.wikipedia,Denial-of-service_attack,-1,desktop,7,1,spider,2019,9,27
fr.wikipedia,Attaque_par_déni_de_service,-1,mobile-app,7,1,user,2019,9,27
en.wikipedia,Denial-of-service_attack,-1,desktop,8,1,spider,2019,9,27
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,desktop,17,1,spider,2019,9,27
pt.wikipedia,Ataque_de_negação_de_serviço,-1,mobile-app,18,1,user,2019,9,27
en.wikipedia,Denial-of-service_attack,-1,desktop,18,3,spider,2019,9,27
en.wikipedia,Denial-of-service_attack,-1,mobile-app,19,2,user,2019,9,27
en.wikipedia,Denial-of-service_attack,-1,desktop,19,4,spider,2019,9,27
ar.wikipedia,هجمات_الحرمان_من_الخدمات,-1,mobile-app,7,1,user,2019,9,2
ru.wikipedia,DoS-атака,-1,mobile-app,7,2,user,2019,9,2
en.wikipedia,Denial-of-service_attack,-1,desktop,8,1,spider,2019,9,2
pl.wikipedia,DDoS,-1,mobile-app,8,1,user,2019,9,2
en.wikipedia,Denial-of-service_attack,-1,desktop,9,2,spider,2019,9,2
ru.wikipedia,DoS-атака,-1,mobile-app,9,1,user,2019,9,2
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,desktop,11,1,spider,2018,9,11
ru.wikipedia,DoS-атака,-1,mobile-app,11,1,user,2018,9,11
en.wikipedia,Denial-of-service_attack,-1,desktop,13,1,spider,2018,9,11
en.wikipedia,Denial-of-service_attack,-1,mobile-app,13,1,user,2018,9,11
en.wikipedia,Denial-of-service_attack,-1,desktop,14,2,spider,2018,9,11
en.wikipedia,Denial-of-service_attack,-1,mobile-app,14,1,user,2018,9,11
ru.wikipedia,DoS-атака,-1,mobile-app,14,1,user,2018,9,11
de.wikipedia,Denial_of_Service,-1,mobile-app,14,2,user,2018,9,11
en.wikipedia,Denial-of-service_attack,-1,mobile-app,15,1,user,2018,9,11
en.wikipedia,Denial-of-service_attack,-1,desktop,16,1,spider,2018,9,11
en.wikipedia,Denial-of-service_attack,-1,mobile-app,16,2,user,2018,9,11
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
ko.wikipedia,서비스_거부_공격,-1,mobile-app,18,1,user,2019,9,30
en.wikipedia,Denial-of-service_attack,-1,desktop,19,1,spider,2019,9,30
de.wikipedia,Denial_of_Service,-1,mobile-app,19,1,user,2019,9,30
de.wikipedia,Denial_of_Service,-1,mobile-app,19,1,user,2019,9,25
en.wikipedia,Denial-of-service_attack,-1,desktop,19,1,spider,2019,9,25
ru.wikipedia,DoS-атака,-1,mobile-app,20,1,user,2019,9,25
en.wikipedia,Denial-of-service_attack,-1,mobile-app,20,1,user,2019,9,25
en.wikipedia,Denial-of-service_attack,-1,desktop,20,1,spider,2019,9,25
pt.wikipedia,Ataque_de_negação_de_serviço,-1,mobile-app,17,1,user,2018,9,5
ru.wikipedia,DoS-атака,-1,mobile-app,17,2,user,2018,9,5
en.wikipedia,Denial-of-service_attack,-1,mobile-app,17,2,user,2018,9,5
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
ja.wikipedia,DoS攻撃,-1,mobile-app,12,2,user,2019,9,13
de.wikipedia,Denial_of_Service,-1,mobile-app,12,1,user,2019,9,13
id.wikipedia,Serangan_DoS,-1,mobile-app,12,2,user,2019,9,13
en.wikipedia,Denial-of-service_attack,-1,desktop,12,2,spider,2019,9,13
de.wikipedia,Denial_of_Service,-1,mobile-app,13,1,user,2019,9,13
en.wikipedia,Denial-of-service_attack,-1,desktop,13,2,spider,2019,9,13
en.wikipedia,Denial-of-service_attack,-1,desktop,14,1,spider,2019,9,13
en.wikipedia,Denial-of-service_attack,-1,desktop,15,1,spider,2019,9,13
en.wikipedia,Denial-of-service_attack,-1,desktop,16,1,spider,2019,9,13
es.wikipedia,Ataque_de_denegación_de_servicio,-1,mobile-app,17,1,user,2019,9,13
en.wikipedia,Denial-of-service_attack,-1,desktop,17,1,spider,2019,9,13
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
ja.wikipedia,DoS攻撃,-1,mobile-app,12,1,user,2018,9,19
en.wikipedia,Denial-of-service_attack,-1,desktop,12,1,spider,2018,9,19
ru.wikipedia,DoS-атака,-1,desktop,12,1,spider,2018,9,19
it.wikipedia,Denial_of_service,-1,mobile-app,13,1,user,2018,9,19
en.wikipedia,Denial-of-service_attack,-1,desktop,13,1,spider,2018,9,19
ru.wikipedia,DoS-атака,-1,mobile-app,17,1,user,2019,9,21
en.wikipedia,Denial-of-service_attack,-1,mobile-app,18,1,user,2019,9,21
en.wikipedia,Denial-of-service_attack,-1,desktop,16,1,spider,2019,9,11
en.wikipedia,Denial-of-service_attack,-1,mobile-app,17,1,user,2019,9,11
he.wikipedia,התקפת_מניעת_שירות,-1,mobile-app,17,3,user,2019,9,11
en.wikipedia,Denial-of-service_attack,-1,desktop,17,2,spider,2019,9,11
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,desktop,6,1,spider,2018,9,10
ru.wikipedia,DoS-атака,-1,mobile-app,6,2,user,2018,9,10
en.wikipedia,Denial-of-service_attack,-1,desktop,5,1,spider,2018,9,10
en.wikipedia,Denial-of-service_attack,-1,mobile-app,5,2,user,2018,9,10
en.wikipedia,Denial-of-service_attack,-1,desktop,4,1,spider,2018,9,10
en.wikipedia,Denial-of-service_attack,-1,desktop,3,1,spider,2018,9,10
en.wikipedia,Denial-of-service_attack,-1,desktop,2,1,spider,2018,9,10
de.wikipedia,Denial_of_Service,-1,mobile-app,1,1,user,2018,9,10
en.wikipedia,Denial-of-service_attack,-1,desktop,1,2,spider,2018,9,10
de.wikipedia,Denial_of_Service,-1,mobile-app,0,1,user,2018,9,10
en.wikipedia,Denial-of-service_attack,-1,desktop,0,1,spider,2018,9,10
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,desktop,12,2,spider,2019,9,22
en.wikipedia,Denial-of-service_attack,-1,mobile-app,13,1,user,2019,9,22
en.wikipedia,Denial-of-service_attack,-1,desktop,13,1,spider,2019,9,22
ru.wikipedia,DoS-атака,-1,mobile-app,14,1,user,2019,9,22
en.wikipedia,Denial-of-service_attack,-1,desktop,14,1,spider,2019,9,22
de.wikipedia,Denial_of_Service,-1,mobile-app,14,2,user,2019,9,22
en.wikipedia,Denial-of-service_attack,-1,desktop,15,2,spider,2019,9,22
fr.wikipedia,Attaque_par_déni_de_service,-1,mobile-app,15,1,user,2019,9,22
it.wikipedia,Denial_of_service,-1,mobile-app,16,1,user,2019,9,22
pl.wikipedia,DDoS,-1,mobile-app,16,1,user,2019,9,22
en.wikipedia,Denial-of-service_attack,-1,desktop,16,2,spider,2019,9,22
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
ru.wikipedia,DoS-атака,-1,mobile-app,21,1,user,2019,9,25
en.wikipedia,Denial-of-service_attack,-1,mobile-app,21,2,user,2019,9,25
ru.wikipedia,DoS-атака,-1,desktop,21,1,spider,2019,9,25
en.wikipedia,Denial-of-service_attack,-1,desktop,21,1,spider,2019,9,25
ru.wikipedia,DoS-атака,-1,mobile-app,22,1,user,2019,9,25
en.wikipedia,Denial-of-service_attack,-1,mobile-app,22,1,user,2019,9,25
en.wikipedia,Denial-of-service_attack,-1,desktop,22,1,spider,2019,9,25
ru.wikipedia,DoS-атака,-1,desktop,2,1,spider,2019,9,12
en.wikipedia,Denial-of-service_attack,-1,desktop,2,1,spider,2019,9,12
en.wikipedia,Denial-of-service_attack,-1,desktop,1,2,spider,2019,9,12
en.wikipedia,Denial-of-service_attack,-1,mobile-app,0,4,user,2019,9,12
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,mobile-app,1,2,user,2018,9,12
it.wikipedia,Denial_of_service,-1,mobile-app,2,1,user,2018,9,12
ja.wikipedia,DoS攻撃,-1,mobile-app,2,4,user,2018,9,12
en.wikipedia,Denial-of-service_attack,-1,desktop,2,2,spider,2018,9,12
en.wikipedia,Denial-of-service_attack,-1,mobile-app,3,1,user,2018,9,12
en.wikipedia,Denial-of-service_attack,-1,desktop,3,1,spider,2018,9,12
en.wikipedia,Denial-of-service_attack,-1,desktop,4,1,spider,2018,9,12
ja.wikipedia,DoS攻撃,-1,mobile-app,5,1,user,2018,9,12
en.wikipedia,Denial-of-service_attack,-1,mobile-app,6,1,user,2018,9,12
en.wikipedia,Denial-of-service_attack,-1,desktop,6,1,spider,2018,9,12
en.wikipedia,Denial-of-service_attack,-1,mobile-app,7,1,user,2018,9,12
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,desktop,1,2,spider,2019,9,1
en.wikipedia,Denial-of-service_attack,-1,mobile-app,1,2,user,2019,9,1
en.wikipedia,Denial-of-service_attack,-1,desktop,2,1,spider,2019,9,1
en.wikipedia,Denial-of-service_attack,-1,desktop,3,2,spider,2019,9,1
en.wikipedia,Denial-of-service_attack,-1,desktop,4,2,spider,2019,9,1
de.wikipedia,Denial_of_Service,-1,mobile-app,4,1,user,2019,9,1
en.wikipedia,Denial-of-service_attack,-1,mobile-app,4,1,user,2019,9,1
en.wikipedia,Denial-of-service_attack,-1,desktop,5,5,spider,2019,9,1
de.wikipedia,Denial_of_Service,-1,desktop,5,2,spider,2019,9,1
en.wikipedia,Denial-of-service_attack,-1,desktop,6,3,spider,2019,9,1
ja.wikipedia,DoS攻撃,-1,mobile-app,6,1,user,2019,9,1
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,desktop,18,1,spider,2018,9,20
en.wikipedia,Denial-of-service_attack,-1,mobile-app,19,2,user,2018,9,20
es.wikipedia,Ataque_de_denegación_de_servicio,-1,mobile-app,20,1,user,2018,9,20
de.wikipedia,Denial_of_Service,-1,mobile-app,20,2,user,2018,9,20
en.wikipedia,Denial-of-service_attack,-1,mobile-app,20,1,user,2018,9,20
en.wikipedia,Denial-of-service_attack,-1,desktop,21,1,spider,2018,9,20
es.wikipedia,Ataque_de_denegación_de_servicio,-1,mobile-app,21,1,user,2018,9,20
en.wikipedia,Denial-of-service_attack,-1,desktop,22,1,spider,2018,9,20
en.wikipedia,Denial-of-service_attack,-1,mobile-app,22,1,user,2018,9,20
en.wikipedia,Denial-of-service_attack,-1,desktop,23,1,spider,2018,9,20
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,desktop,19,1,spider,2019,9,15
es.wikipedia,Ataque_de_denegación_de_servicio,-1,mobile-app,20,1,user,2019,9,15
de.wikipedia,Denial_of_Service,-1,mobile-app,20,1,user,2019,9,15
en.wikipedia,Denial-of-service_attack,-1,desktop,21,1,spider,2019,9,15
de.wikipedia,Denial_of_Service,-1,mobile-app,21,1,user,2019,9,15
en.wikipedia,Denial-of-service_attack,-1,desktop,22,1,spider,2019,9,15
ru.wikipedia,DoS-атака,-1,mobile-app,22,1,user,2019,9,15
en.wikipedia,Denial-of-service_attack,-1,desktop,23,6,spider,2019,9,15
en.wikipedia,Denial-of-service_attack,-1,mobile-app,23,2,user,2019,9,15
ar.wikipedia,هجمات_الحرمان_من_الخدمات,-1,mobile-app,23,2,user,2019,9,15
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,mobile-app,1,1,user,2018,9,21
en.wikipedia,Denial-of-service_attack,-1,desktop,1,2,spider,2018,9,21
